name,aggmiv,max20aggmiv,kalaggmiv,aggoev,max30aggoev,kalaggoev,kernmiv,max30miv,kalkernmiv,kernoev,max40oev,kalkernoev,lat,lon,x,y
Vacallo TI,5,0.25,0.25,8,0.27,0.27,22,0.73,0.73,43,1.075,1,45.847381591796875,9.038261413574219,78571.5234375,724266.5
Biasca TI,17,0.85,0.85,13,0.43,0.43,32,1.07,1,46,1.15,1,46.36265563964844,9.027362823486328,135823.640625,722259.9375
Claro TI,10,0.5,0.5,17,0.57,0.57,26,0.87,0.87,47,1.175,1,46.26675796508789,9.038108825683594,125182.390625,723304.0625
Cresciano TI,14,0.7,0.7,20,0.67,0.67,30,1,1,50,1.25,1,46.29912567138672,9.026976585388184,128762.3671875,722373.1875
Iragna TI,17,0.85,0.85,36,1.2,1,33,1.1,1,70,1.75,1,46.327457427978516,8.947752952575684,131790.75,716209.5625
Lodrino TI,14,0.7,0.7,28,0.93,0.93,31,1.03,1,69,1.725,1,46.28957748413086,8.948991775512695,127582.2734375,716386
Osogna TI,14,0.7,0.7,24,0.8,0.8,31,1.03,1,54,1.35,1,46.32381820678711,9.01154899597168,131482.796875,721129.6875
Aurigeno TI,15,0.75,0.75,20,0.67,0.67,47,1.57,1,88,2.2,1,46.23036193847656,8.712532043457031,120677.3984375,698273.3125
Avegno TI,9,0.45,0.45,14,0.47,0.47,42,1.4,1,82,2.05,1,46.22444534301758,8.766252517700195,120088.3046875,702428.25
Bignasco TI,23,1.15,1,45,1.5,1,56,1.87,1,113,2.825,1,46.33815383911133,8.60878849029541,132533.90625,690092
Bosco/Gurin TI,31,1.55,1,101,3.37,1,64,2.13,1,169,4.225,1,46.321327209472656,8.489078521728516,130533.15625,680900.875
Broglio TI,28,1.4,1,78,2.6,1,60,2,1,148,3.7,1,46.37678146362305,8.660135269165039,136887.796875,693978.125
Brontallo TI,25,1.25,1,69,2.3,1,58,1.93,1,138,3.45,1,46.355369567871094,8.628711700439453,134470.5,691596.8125
Campo (Vallemaggia) TI,36,1.8,1,102,3.4,1,69,2.3,1,171,4.275,1,46.275245666503906,8.51076602935791,125433.7265625,682641.0625
Cavergno TI,24,1.2,1,47,1.57,1,57,1.9,1,116,2.9,1,46.345252990722656,8.606057167053223,133319.796875,689870
Cerentino TI,27,1.35,1,85,2.83,1,59,1.97,1,153,3.825,1,46.31068420410156,8.544403076171875,129408.6796875,685178.1875
Cevio TI,21,1.05,1,41,1.37,1,53,1.77,1,109,2.725,1,46.3753547668457,8.53984546661377,136592.078125,684726.3125
