name,aggmiv,max20aggmiv,kalaggmiv,aggoev,max30aggoev,kalaggoev,kernmiv,max30miv,kalkernmiv,kernoev,max40oev,kalkernoev,lat,lon,x,y
Kehrsatz BE,8,0.4,0.4,10,0.33,0.33,8,0.27,0.27,10,0.25,0.25,46.91176986694336,7.470935344696045,195630.171875,602460.8125
Kienersrüti BE,9,0.45,0.45,6,0.2,0.2,19,0.63,0.63,30,0.75,0.75,46.797149658203125,7.5614423751831055,182894.5,609375.625
Kirchdorf  BE,11,0.55,0.55,36,1.2,1,16,0.53,0.53,39,0.975,0.98,46.81779479980469,7.542025089263916,185187.5625,607890.1875
Kirchenthurnen BE,12,0.6,0.6,34,1.13,1,15,0.5,0.5,36,0.9,0.9,46.8243408203125,7.504076957702637,185912.109375,604993.5625
Lohnstorf BE,14,0.7,0.7,32,1.07,1,18,0.6,0.6,33,0.825,0.83,46.80659484863281,7.510887622833252,183939.734375,605515.0625
Mühledorf  BE,12,0.6,0.6,37,1.23,1,17,0.57,0.57,38,0.95,0.95,46.82796859741211,7.531142711639404,186317.703125,607058.375
Mühlethurnen BE,12,0.6,0.6,18,0.6,0.6,17,0.57,0.57,27,0.675,0.68,46.8159065246582,7.5096564292907715,184974.90625,605420.125
Niedermuhlern BE,15,0.75,0.75,37,1.23,1,15,0.5,0.5,37,0.925,0.93,46.85930633544922,7.461802005767822,189797.671875,601766.625
Noflen BE,10,0.5,0.5,36,1.2,1,18,0.6,0.6,37,0.925,0.93,46.80166244506836,7.541581630706787,183394.328125,607858.6875
Riggisberg BE,15,0.75,0.75,39,1.3,1,17,0.57,0.57,40,1,1,46.772438049316406,7.460297107696533,180140.4375,601654.5
Rüeggisberg BE,22,1.1,1,48,1.6,1,23,0.77,0.77,48,1.2,1,46.818668365478516,7.437085151672363,185279.8125,599881.6875
Rümligen BE,16,0.8,0.8,35,1.17,1,17,0.57,0.57,35,0.875,0.88,46.82655715942383,7.487029552459717,186157.53125,603692.625
Rüti bei Riggisberg BE,18,0.9,0.9,53,1.77,1,22,0.73,0.73,56,1.4,1,46.78123474121094,7.450347423553467,181118.3125,600894.375
Seftigen BE,8,0.4,0.4,12,0.4,0.4,18,0.6,0.6,33,0.825,0.83,46.790897369384766,7.539374828338623,182197.140625,607691.75
Toffen BE,12,0.6,0.6,21,0.7,0.7,12,0.4,0.4,21,0.525,0.53,46.86137008666992,7.4931817054748535,190027.90625,604159.375
Uttigen BE,7,0.35,0.35,6,0.2,0.2,17,0.57,0.57,30,0.75,0.75,46.79673767089844,7.571078300476074,182849.859375,610111.3125
Wattenwil BE,12,0.6,0.6,24,0.8,0.8,21,0.7,0.7,47,1.175,1,46.75886535644531,7.488656997680664,178632.734375,603821.5
Zimmerwald BE,13,0.65,0.65,28,0.93,0.93,13,0.43,0.43,28,0.7,0.7,46.881690979003906,7.471827030181885,192286.296875,602530.125
Eggiwil BE,22,1.1,1,58,1.93,1,27,0.9,0.9,58,1.45,1,46.8653450012207,7.822824001312256,190539.96875,629293.375
Langnau im Emmental BE,22,1.1,1,31,1.03,1,25,0.83,0.83,40,1,1,46.9547119140625,7.804461479187012,200468.296875,627847.0625
Lauperswil BE,19,0.95,0.95,24,0.8,0.8,26,0.87,0.87,61,1.525,1,46.963600158691406,7.7511515617370605,201438.578125,623785.1875
Röthenbach im Emmental BE,17,0.85,0.85,66,2.2,1,24,0.8,0.8,66,1.65,1,46.84532165527344,7.750473976135254,188289.5,623785.75
Rüderswil BE,17,0.85,0.85,17,0.57,0.57,26,0.87,0.87,48,1.2,1,46.976837158203125,7.7277421951293945,202903.46875,621998.1875
Schangnau BE,31,1.55,1,94,3.13,1,44,1.47,1,96,2.4,1,46.81646728515625,7.8767499923706055,185127.921875,633435.375
Signau BE,21,1.05,1,40,1.33,1,21,0.7,0.7,40,1,1,46.916656494140625,7.736164569854736,196215.5625,622664.3125
Trub BE,30,1.5,1,54,1.8,1,33,1.1,1,54,1.35,1,46.94795608520508,7.883294105529785,199748.140625,633852.0625
Trubschachen BE,27,1.35,1,43,1.43,1,30,1,1,43,1.075,1,46.90989685058594,7.832743167877197,195496.328125,630024.875
Amsoldingen BE,4,0.2,0.2,20,0.67,0.67,19,0.63,0.63,47,1.175,1,46.728946685791016,7.583047866821289,175315.625,611038.9375
Blumenstein BE,10,0.5,0.5,26,0.87,0.87,23,0.77,0.77,57,1.425,1,46.728981018066406,7.493661880493164,175310.84375,604206.1875
Buchholterberg BE,12,0.6,0.6,22,0.73,0.73,25,0.83,0.83,52,1.3,1,46.81943130493164,7.685594081878662,185394.0625,618846.0625
Eriz BE,16,0.8,0.8,42,1.4,1,30,1,1,73,1.825,1,46.78227233886719,7.848047733306885,181314.90625,631264.75
Fahrni BE,10,0.5,0.5,20,0.67,0.67,23,0.77,0.77,51,1.275,1,46.79602813720703,7.657985687255859,182786,616746.4375
Forst BE,11,0.55,0.55,25,0.83,0.83,23,0.77,0.77,56,1.4,1,46.76131820678711,7.542218208312988,178909.34375,607913.125
Heiligenschwendi BE,8,0.4,0.4,19,0.63,0.63,26,0.87,0.87,52,1.3,1,46.75210952758789,7.678831100463867,177908.34375,618352.8125
Heimberg BE,8,0.4,0.4,6,0.2,0.2,16,0.53,0.53,38,0.95,0.95,46.789833068847656,7.600754261016846,182086.53125,612378.5
Hilterfingen BE,8,0.4,0.4,6,0.2,0.2,25,0.83,0.83,42,1.05,1,46.742801666259766,7.660455703735352,176869.296875,616951.6875
Höfen BE,12,0.6,0.6,23,0.77,0.77,26,0.87,0.87,51,1.275,1,46.71212387084961,7.573625087738037,173443.890625,610321.8125
Homberg BE,7,0.35,0.35,17,0.57,0.57,23,0.77,0.77,50,1.25,1,46.77516174316406,7.682920932769775,180472,618657.3125
Horrenbach-Buchen BE,12,0.6,0.6,25,0.83,0.83,27,0.9,0.9,58,1.45,1,46.76879119873047,7.801158905029297,179798.46875,627691
Längenbühl BE,10,0.5,0.5,18,0.6,0.6,23,0.77,0.77,50,1.25,1,46.76131820678711,7.542218208312988,178909.34375,607913.125
Oberhofen am Thunersee BE,8,0.4,0.4,11,0.37,0.37,26,0.87,0.87,48,1.2,1,46.73054122924805,7.676176071166992,175510.15625,618157.125
Oberlangenegg BE,17,0.85,0.85,30,1,1,30,1,1,62,1.55,1,46.800010681152344,7.744234561920166,183250.6875,623329.4375
Pohlern BE,12,0.6,0.6,29,0.97,0.97,26,0.87,0.87,58,1.45,1,46.71785354614258,7.523681163787842,174075.59375,606502.1875
Schwendibach BE,6,0.3,0.3,11,0.37,0.37,22,0.73,0.73,44,1.1,1,46.77082824707031,7.659529685974121,179984.90625,616872.1875
Sigriswil BE,10,0.5,0.5,14,0.47,0.47,27,0.9,0.9,49,1.225,1,46.72758483886719,7.742680072784424,175198.6875,623241.875
Steffisburg BE,6,0.3,0.3,5,0.17,0.17,19,0.63,0.63,35,0.875,0.88,46.78205490112305,7.635464668273926,181228.09375,615030.9375
Teuffenthal  BE,11,0.55,0.55,25,0.83,0.83,27,0.9,0.9,58,1.45,1,46.76456832885742,7.708289623260498,179300.46875,620598.9375
Thierachern BE,6,0.3,0.3,16,0.53,0.53,21,0.7,0.7,46,1.15,1,46.7484016418457,7.57187032699585,177476.671875,610180.875
Thun BE,0,0,0,0,0,0,18,0.6,0.6,24,0.6,0.6,46.740447998046875,7.607640266418457,176597.90625,612916.0625
Uebeschi BE,9,0.45,0.45,21,0.7,0.7,22,0.73,0.73,50,1.25,1,46.739906311035156,7.548870086669922,176529.625,608424.625
Uetendorf BE,5,0.25,0.25,8,0.27,0.27,17,0.57,0.57,37,0.925,0.93,46.77582931518555,7.577206611633301,180526.609375,610583.25
Unterlangenegg BE,10,0.5,0.5,23,0.77,0.77,24,0.8,0.8,53,1.325,1,46.799983978271484,7.697633743286133,183234.96875,619771.9375
Wachseldorn BE,15,0.75,0.75,44,1.47,1,28,0.93,0.93,73,1.825,1,46.81883239746094,7.737326145172119,185341.1875,622794.0625
Zwieselberg BE,8,0.4,0.4,10,0.33,0.33,24,0.8,0.8,45,1.125,1,46.71070861816406,7.615705490112305,173293.09375,613539.8125
Affoltern im Emmental BE,13,0.65,0.65,38,1.27,1,29,0.97,0.97,70,1.75,1,47.06922912597656,7.734705924987793,213176.765625,622489.375
Dürrenroth BE,18,0.9,0.9,38,1.27,1,34,1.13,1,80,2,1,47.08049011230469,7.776612281799316,214441.515625,625667.0625
Eriswil BE,19,0.95,0.95,34,1.13,1,38,1.27,1,81,2.025,1,47.06904602050781,7.857860565185547,213198.984375,631844
Huttwil BE,15,0.75,0.75,22,0.73,0.73,38,1.27,1,70,1.75,1,47.109989166259766,7.845602512359619,217745.75,630889.3125
Lützelflüh BE,13,0.65,0.65,14,0.47,0.47,23,0.77,0.77,44,1.1,1,47.01542663574219,7.694085121154785,207184.484375,619423.25
Rüegsau BE,10,0.5,0.5,9,0.3,0.3,22,0.73,0.73,39,0.975,0.98,47.03998565673828,7.693009853363037,209914.625,619332.75
Sumiswald BE,21,1.05,1,38,1.27,1,31,1.03,1,66,1.65,1,47.03082275390625,7.80800724029541,208930.59375,628077.1875
Trachselwald BE,16,0.8,0.8,37,1.23,1,26,0.87,0.87,66,1.65,1,47.00973892211914,7.779083251953125,206576.65625,625888.8125
Walterswil  BE,16,0.8,0.8,38,1.27,1,36,1.2,1,88,2.2,1,47.10541915893555,7.773402214050293,217211.828125,625411.5
Wyssachen BE,19,0.95,0.95,36,1.2,1,39,1.3,1,83,2.075,1,47.07395553588867,7.82078742980957,213730.515625,629025.375
Attiswil BE,11,0.55,0.55,21,0.7,0.7,28,0.93,0.93,73,1.825,1,47.25444030761719,7.610197067260742,233739.84375,612987.0625
Berken BE,8,0.4,0.4,24,0.8,0.8,30,1,1,47,1.175,1,47.2253303527832,7.704334735870361,230523.15625,620123.8125
Bettenhausen BE,9,0.45,0.45,23,0.77,0.77,27,0.9,0.9,44,1.1,1,47.170204162597656,7.708376407623291,224395.234375,620450.9375
Bollodingen BE,10,0.5,0.5,23,0.77,0.77,28,0.93,0.93,42,1.05,1,47.167701721191406,7.709968090057373,224117.71875,620572.5625
Farnern BE,17,0.85,0.85,47,1.57,1,30,1,1,83,2.075,1,47.27058792114258,7.6140055656433105,235535.421875,613271.375
Graben BE,8,0.4,0.4,12,0.4,0.4,32,1.07,1,48,1.2,1,47.21852493286133,7.719630241394043,229770.625,621284.9375
Heimenhausen BE,10,0.5,0.5,24,0.8,0.8,29,0.97,0.97,47,1.175,1,47.20927429199219,7.690964698791504,228734.59375,619116.9375
Hermiswil BE,11,0.55,0.55,20,0.67,0.67,25,0.83,0.83,39,0.975,0.98,47.15606689453125,7.699809551239014,222821.546875,619806.625
Herzogenbuchsee BE,9,0.45,0.45,5,0.17,0.17,27,0.9,0.9,32,0.8,0.8,47.18578338623047,7.711874485015869,226128.328125,620710.125
Inkwil BE,11,0.55,0.55,22,0.73,0.73,26,0.87,0.87,41,1.025,1,47.20189666748047,7.66281270980835,227907.8125,616986.5
Niederbipp BE,14,0.7,0.7,18,0.6,0.6,30,1,1,62,1.55,1,47.234867095947266,7.695596694946289,231581.3125,619458.5625
Niederönz BE,10,0.5,0.5,19,0.63,0.63,27,0.9,0.9,41,1.025,1,47.183353424072266,7.6845879554748535,225851.515625,618642.8125
Oberbipp BE,14,0.7,0.7,27,0.9,0.9,28,0.93,0.93,74,1.85,1,47.252685546875,7.673842906951904,233557.203125,617805.375
Oberönz BE,10,0.5,0.5,14,0.47,0.47,25,0.83,0.83,58,1.45,1,47.1795768737793,7.694502830505371,225434,619395.6875
Ochlenberg BE,11,0.55,0.55,20,0.67,0.67,31,1.03,1,39,0.975,0.98,47.140743255615234,7.730215549468994,221126,622118.8125
Röthenbach bei Herzogenbuchsee BE,11,0.55,0.55,24,0.8,0.8,28,0.93,0.93,43,1.075,1,47.20535659790039,7.681591033935547,228296.921875,618408.125
Rumisberg BE,15,0.75,0.75,35,1.17,1,28,0.93,0.93,75,1.875,1,47.26930618286133,7.6399970054626465,235397.703125,615238.5625
Seeberg BE,15,0.75,0.75,18,0.6,0.6,28,0.93,0.93,37,0.925,0.93,47.140472412109375,7.683953762054443,221084.109375,618609.625
Thörigen BE,8,0.4,0.4,18,0.6,0.6,28,0.93,0.93,47,1.175,1,47.174293518066406,7.730137348175049,224855.78125,622099.0625
Walliswil bei Niederbipp BE,9,0.45,0.45,26,0.87,0.87,27,0.9,0.9,55,1.375,1,47.234867095947266,7.695596694946289,231581.3125,619458.5625
Walliswil bei Wangen BE,13,0.65,0.65,26,0.87,0.87,29,0.97,0.97,54,1.35,1,47.22549819946289,7.684354782104492,230536.65625,618610.5625
Wangen an der Aare BE,13,0.65,0.65,13,0.43,0.43,26,0.87,0.87,58,1.45,1,47.23069763183594,7.645791530609131,231106.53125,615688.375
Wangenried BE,15,0.75,0.75,27,0.9,0.9,29,0.97,0.97,54,1.35,1,47.21807861328125,7.661464214324951,229706.765625,616879.25
Wanzwil BE,10,0.5,0.5,21,0.7,0.7,28,0.93,0.93,40,1,1,47.20016860961914,7.6932268142700195,227722.703125,619291.625
Wiedlisbach BE,12,0.6,0.6,24,0.8,0.8,25,0.83,0.83,73,1.825,1,47.24736022949219,7.6475443840026855,232959.140625,615816.1875
Wolfisberg BE,17,0.85,0.85,37,1.23,1,30,1,1,84,2.1,1,47.27730178833008,7.658696174621582,236290.28125,616651.125
Doppleschwand LU,24,1.2,1,38,1.27,1,50,1.67,1,98,2.45,1,47.01411056518555,8.049423217773438,207187.234375,646442
Entlebuch LU,26,1.3,1,27,0.9,0.9,49,1.63,1,66,1.65,1,46.96376419067383,8.13305950164795,201643.4375,652850.75
Escholzmatt LU,32,1.6,1,41,1.37,1,35,1.17,1,51,1.275,1,46.89060592651367,7.917622089385986,193387.859375,636504.3125
Flühli LU,42,2.1,1,56,1.87,1,51,1.7,1,84,2.1,1,46.84712600708008,8.012356758117676,188602.875,643759.3125
Hasle LU,27,1.35,1,39,1.3,1,45,1.5,1,86,2.15,1,46.947383880615234,8.088579177856445,199793.421875,649480.625
Marbach LU,30,1.5,1,85,2.83,1,37,1.23,1,85,2.125,1,46.89060592651367,7.917622089385986,193387.859375,636504.3125
Romoos LU,30,1.5,1,44,1.47,1,56,1.87,1,104,2.6,1,47.003170013427734,7.995237827301025,205940.265625,642330.6875
Schüpfheim LU,31,1.55,1,33,1.1,1,42,1.4,1,59,1.475,1,46.94516372680664,8.005921363830566,199497.671875,643189.75
Werthenstein LU,19,0.95,0.95,22,0.73,0.73,45,1.5,1,87,2.175,1,47.032039642333984,8.122227668762207,209226.015625,651960.3125
Aesch LU,12,0.6,0.6,50,1.67,1,30,1,1,79,1.975,1,47.259273529052734,8.235933303833008,234569.203125,660346.1875
Altwis LU,15,0.75,0.75,48,1.6,1,33,1.1,1,77,1.925,1,47.24068832397461,8.251049041748047,232514.46875,661511.625
Ballwil LU,14,0.7,0.7,22,0.73,0.73,28,0.93,0.93,65,1.625,1,47.14510726928711,8.341755867004395,221963.96875,668501.375
Emmen LU,11,0.55,0.55,9,0.3,0.3,34,1.13,1,68,1.7,1,47.08824157714844,8.293471336364746,215601.46875,664908
Ermensee LU,17,0.85,0.85,34,1.13,1,33,1.1,1,64,1.6,1,47.22422790527344,8.235358238220215,230672.40625,660342.1875
Eschenbach LU,14,0.7,0.7,18,0.6,0.6,30,1,1,73,1.825,1,47.125953674316406,8.310365676879883,219807.625,666144.25
Gelfingen LU,18,0.9,0.9,39,1.3,1,33,1.1,1,72,1.8,1,47.214630126953125,8.265190124511719,229628.703125,662612.8125
Hämikon LU,18,0.9,0.9,47,1.57,1,29,0.97,0.97,76,1.9,1,47.23830795288086,8.276180267333984,232269.90625,663417.1875
Herlisberg LU,21,1.05,1,55,1.83,1,41,1.37,1,100,2.5,1,47.198081970214844,8.230151176452637,227761.90625,659977.1875
Hitzkirch LU,16,0.8,0.8,40,1.33,1,32,1.07,1,69,1.725,1,47.22005081176758,8.275753021240234,230240.03125,663406.5
Hochdorf LU,17,0.85,0.85,28,0.93,0.93,33,1.1,1,70,1.75,1,47.16480255126953,8.294483184814453,224113.328125,664892.0625
Hohenrain LU,19,0.95,0.95,43,1.43,1,30,1,1,98,2.45,1,47.1884880065918,8.310857772827148,226759.984375,666104.3125
Inwil LU,14,0.7,0.7,22,0.73,0.73,28,0.93,0.93,74,1.85,1,47.12964630126953,8.3674955368042,220268.203125,670474
Lieli LU,21,1.05,1,51,1.7,1,32,1.07,1,81,2.025,1,47.20730209350586,8.29857063293457,228841.5,665150.1875
Mosen LU,15,0.75,0.75,31,1.03,1,33,1.1,1,61,1.525,1,47.24381637573242,8.224721908569336,232842.09375,659514.875
Müswangen LU,16,0.8,0.8,50,1.67,1,28,0.93,0.93,79,1.975,1,47.23820495605469,8.288718223571777,232268.796875,664366.625
Rain LU,14,0.7,0.7,21,0.7,0.7,33,1.1,1,96,2.4,1,47.13365173339844,8.267045974731445,220627.921875,662848.375
Retschwil LU,20,1,1,55,1.83,1,36,1.2,1,100,2.5,1,47.19270706176758,8.253632545471191,227182.703125,661762.625
Römerswil LU,22,1.1,1,53,1.77,1,42,1.4,1,101,2.525,1,47.17694854736328,8.25422191619873,225431.203125,661825.5
Rothenburg LU,9,0.45,0.45,10,0.33,0.33,32,1.07,1,71,1.775,1,47.10429382324219,8.267417907714844,217364.4375,662911.0625
Schongau LU,14,0.7,0.7,57,1.9,1,30,1,1,86,2.15,1,47.26746368408203,8.27047348022461,235506.546875,662950.75
Sulz LU,19,0.95,0.95,48,1.6,1,31,1.03,1,78,1.95,1,47.21928787231445,8.278383255004883,230157.296875,663606.625
Adligenswil LU,5,0.25,0.25,22,0.73,0.73,32,1.07,1,66,1.65,1,47.071739196777344,8.36742115020752,213830.78125,670544.5
Buchrain LU,11,0.55,0.55,21,0.7,0.7,30,1,1,60,1.5,1,47.10184860229492,8.349186897277832,217161.71875,669120.8125
Dierikon LU,10,0.5,0.5,11,0.37,0.37,28,0.93,0.93,50,1.25,1,47.09400177001953,8.371753692626953,216309.25,670844.1875
Ebikon LU,6,0.3,0.3,9,0.3,0.3,31,1.03,1,51,1.275,1,47.07891845703125,8.331612586975098,214597.28125,667815.8125
Gisikon LU,11,0.55,0.55,18,0.6,0.6,23,0.77,0.77,47,1.175,1,47.12678527832031,8.403775215148926,219983.375,673230.375
Greppen LU,14,0.7,0.7,28,0.93,0.93,29,0.97,0.97,67,1.675,1,47.05640411376953,8.429388046264648,212183.34375,675272.375
Honau LU,11,0.55,0.55,13,0.43,0.43,24,0.8,0.8,37,0.925,0.93,47.132537841796875,8.408098220825195,220626.84375,673550.4375
Horw LU,8,0.4,0.4,10,0.33,0.33,36,1.2,1,74,1.85,1,47.0130729675293,8.326202392578125,207272.703125,667487.75
Kriens LU,7,0.35,0.35,7,0.23,0.23,34,1.13,1,79,1.975,1,47.01639175415039,8.259725570678711,207586.640625,662429.375
Littau LU,8,0.4,0.4,11,0.37,0.37,34,1.13,1,72,1.8,1,47.04907989501953,8.260095596313477,211220.90625,662419.5
Luzern LU,0,0,0,0,0,0,31,1.03,1,48,1.2,1,47.05470275878906,8.300894737243652,211879.234375,665512.625
Malters LU,12,0.6,0.6,11,0.37,0.37,38,1.27,1,66,1.65,1,47.041255950927734,8.190068244934082,210297.875,657106.875
Meggen LU,10,0.5,0.5,4,0.13,0.13,35,1.17,1,67,1.675,1,47.04423522949219,8.374635696411133,210779.578125,671128.9375
Meierskappel LU,14,0.7,0.7,23,0.77,0.77,27,0.9,0.9,47,1.175,1,47.11591339111328,8.435702323913574,218804.796875,675668.0625
Root LU,10,0.5,0.5,16,0.53,0.53,25,0.83,0.83,45,1.125,1,47.11113739013672,8.3881254196167,218229.40625,672064
Schwarzenberg LU,16,0.8,0.8,32,1.07,1,43,1.43,1,103,2.575,1,46.99628448486328,8.18801498413086,205296.78125,656998.5625
Udligenswil LU,8,0.4,0.4,28,0.93,0.93,29,0.97,0.97,53,1.325,1,47.090980529785156,8.396183967590332,215995.859375,672702.9375
Vitznau LU,18,0.9,0.9,37,1.23,1,35,1.17,1,102,2.55,1,47.01919937133789,8.489991188049316,208107.59375,679931.8125
Weggis LU,16,0.8,0.8,31,1.03,1,32,1.07,1,84,2.1,1,47.033050537109375,8.431032180786133,209589.109375,675430.125
Beromünster LU,20,1,1,36,1.2,1,40,1.33,1,90,2.25,1,47.20792007446289,8.187074661254883,228823.703125,656702.8125
Büron LU,17,0.85,0.85,32,1.07,1,40,1.33,1,69,1.725,1,47.21316146850586,8.096711158752441,229345.03125,649852
Buttisholz LU,21,1.05,1,33,1.1,1,45,1.5,1,76,1.9,1,47.1134033203125,8.094966888427734,218253.3125,649812.625
Eich LU,16,0.8,0.8,37,1.23,1,39,1.3,1,79,1.975,1,47.15393829345703,8.163187980651855,222805.1875,654948.5625
Geuensee LU,16,0.8,0.8,29,0.97,0.97,40,1.33,1,65,1.625,1,47.20296096801758,8.120058059692383,228225.96875,651630.4375
Grosswangen LU,19,0.95,0.95,40,1.33,1,47,1.57,1,81,2.025,1,47.13139343261719,8.052082061767578,220226.984375,646542.3125
Gunzwil LU,22,1.1,1,42,1.4,1,42,1.4,1,88,2.2,1,47.21163558959961,8.178115844726562,229230.03125,656020.1875
Hildisrieden LU,13,0.65,0.65,26,0.87,0.87,36,1.2,1,93,2.325,1,47.14634704589844,8.23491382598877,222013.984375,660396.4375
Knutwil LU,15,0.75,0.75,32,1.07,1,44,1.47,1,68,1.7,1,47.1949577331543,8.06877326965332,227303.890625,647752
Kulmerau LU,19,0.95,0.95,65,2.17,1,40,1.33,1,105,2.625,1,47.253211975097656,8.088187217712402,233791.90625,649169.5
Mauensee LU,20,1,1,20,0.67,0.67,46,1.53,1,62,1.55,1,47.17379379272461,8.08062744140625,224958.234375,648669.5
Neudorf LU,16,0.8,0.8,29,0.97,0.97,39,1.3,1,96,2.4,1,47.176883697509766,8.209039688110352,225389.203125,658400.6875
Neuenkirch LU,13,0.65,0.65,15,0.5,0.5,37,1.23,1,67,1.675,1,47.106719970703125,8.196645736694336,217580.265625,657536.5
Nottwil LU,18,0.9,0.9,24,0.8,0.8,41,1.37,1,61,1.525,1,47.130802154541016,8.140913009643555,220217.796875,653282.375
Oberkirch LU,21,1.05,1,23,0.77,0.77,45,1.5,1,57,1.425,1,47.154510498046875,8.109631538391113,222832.859375,650886.5
Pfeffikon LU,17,0.85,0.85,37,1.23,1,39,1.3,1,70,1.75,1,47.2493896484375,8.177584648132324,233427,655940.375
Rickenbach LU,23,1.15,1,40,1.33,1,42,1.4,1,84,2.1,1,47.22828674316406,8.149025917053223,231061.09375,653799.75
Ruswil LU,20,1,1,22,0.73,0.73,43,1.43,1,87,2.175,1,47.07924270629883,8.135994911193848,214482.796875,652960.125
Schenkon LU,16,0.8,0.8,32,1.07,1,40,1.33,1,71,1.775,1,47.1781120300293,8.135237693786621,225473.625,652805.0625
Schlierbach LU,20,1,1,41,1.37,1,42,1.4,1,71,1.775,1,47.22507858276367,8.115405082702637,230681.765625,651256.6875
Schwarzenbach LU,17,0.85,0.85,48,1.6,1,35,1.17,1,75,1.875,1,47.231929779052734,8.211503982543945,231510.796875,658527.1875
Sempach LU,11,0.55,0.55,25,0.83,0.83,34,1.13,1,81,2.025,1,47.14033508300781,8.191211700439453,221313.171875,657088.1875
Sursee LU,17,0.85,0.85,14,0.47,0.47,41,1.37,1,46,1.15,1,47.1781120300293,8.103192329406738,225452.53125,650376
Triengen LU,15,0.75,0.75,37,1.23,1,37,1.23,1,78,1.95,1,47.23664474487305,8.06015396118164,231933.15625,647062.125
Wilihof LU,16,0.8,0.8,53,1.77,1,40,1.33,1,97,2.425,1,47.226219177246094,8.06454086303711,230776.5,647403.5
Winikon LU,16,0.8,0.8,39,1.3,1,40,1.33,1,77,1.925,1,47.2386360168457,8.054320335388184,232150.90625,646618.6875
Wolhusen LU,19,0.95,0.95,20,0.67,0.67,45,1.5,1,72,1.8,1,47.05561065673828,8.048483848571777,211800.328125,646334.8125
Alberswil LU,15,0.75,0.75,31,1.03,1,44,1.47,1,78,1.95,1,47.145572662353516,7.994060516357422,221770.9375,642129.1875
Altbüron LU,12,0.6,0.6,24,0.8,0.8,43,1.43,1,73,1.825,1,47.19083786010742,7.882246494293213,226749.03125,633619.8125
Altishofen LU,12,0.6,0.6,16,0.53,0.53,41,1.37,1,61,1.525,1,47.20077896118164,7.959805965423584,227890.609375,639490.3125
Buchs LU,14,0.7,0.7,40,1.33,1,44,1.47,1,69,1.725,1,47.20195007324219,8.03345775604248,228060.09375,645069.875
Dagmersellen LU,10,0.5,0.5,8,0.27,0.27,40,1.33,1,54,1.35,1,47.212894439697266,8.014300346374512,229266.03125,643609.5
Ebersecken LU,15,0.75,0.75,29,0.97,0.97,45,1.5,1,77,1.925,1,47.18283462524414,7.94113302230835,225886.40625,638088.1875
Egolzwil LU,13,0.65,0.65,15,0.5,0.5,42,1.4,1,61,1.525,1,47.18437576293945,7.997992038726807,226086.671875,642396.6875
Ettiswil LU,19,0.95,0.95,32,1.07,1,47,1.57,1,78,1.95,1,47.15337371826172,8.025948524475098,222655.515625,644541.375
Fischbach LU,17,0.85,0.85,31,1.03,1,45,1.5,1,81,2.025,1,47.14929962158203,7.905189514160156,222141.046875,635386
Gettnau LU,18,0.9,0.9,36,1.2,1,46,1.53,1,84,2.1,1,47.13833999633789,7.9703288078308105,220954.296875,640334.625
Grossdietwil LU,13,0.65,0.65,26,0.87,0.87,44,1.47,1,75,1.875,1,47.193031311035156,7.907620429992676,227004.25,635541.375
Hergiswil bei Willisau LU,26,1.3,1,60,2,1,49,1.63,1,99,2.475,1,47.0528678894043,7.9573869705200195,211445.640625,639415.625
Kottwil LU,20,1,1,27,0.9,0.9,45,1.5,1,74,1.85,1,47.16315460205078,8.045382499694824,223754.09375,646006.8125
Langnau bei Reiden LU,7,0.35,0.35,6,0.2,0.2,37,1.23,1,52,1.3,1,47.23056411743164,7.96165657043457,231202.703125,639608.5
Luthern LU,26,1.3,1,61,2.03,1,47,1.57,1,109,2.725,1,47.05481719970703,7.898242473602295,211634.328125,634920.5625
Menznau LU,23,1.15,1,30,1,1,50,1.67,1,87,2.175,1,47.066436767578125,8.037007331848145,212997.203125,645453.6875
Nebikon LU,12,0.6,0.6,11,0.37,0.37,41,1.37,1,56,1.4,1,47.19176483154297,7.9872565269470215,226902.265625,641577.25
Ohmstal LU,17,0.85,0.85,24,0.8,0.8,46,1.53,1,72,1.8,1,47.16252136230469,7.949859619140625,223632.125,638764.375
Pfaffnau LU,19,0.95,0.95,12,0.4,0.4,48,1.6,1,59,1.475,1,47.2210693359375,7.901923656463623,230118.765625,635091.25
Reiden LU,6,0.3,0.3,5,0.17,0.17,37,1.23,1,51,1.275,1,47.22935485839844,7.949608325958252,231062.359375,638697
Richenthal LU,11,0.55,0.55,22,0.73,0.73,41,1.37,1,72,1.8,1,47.21724319458008,7.943684101104736,229713,638257
Roggliswil LU,12,0.6,0.6,27,0.9,0.9,43,1.43,1,72,1.8,1,47.214210510253906,7.883036136627197,229347.8125,633665
Schötz LU,13,0.65,0.65,25,0.83,0.83,42,1.4,1,71,1.775,1,47.166107177734375,7.974876403808594,224043.34375,640658.5625
Uffikon LU,12,0.6,0.6,42,1.4,1,41,1.37,1,78,1.95,1,47.21039581298828,8.017583847045898,228990.09375,643860.3125
Ufhusen LU,20,1,1,50,1.67,1,42,1.4,1,98,2.45,1,47.10366439819336,7.891058444976807,217061.53125,634343.4375
Wauwil LU,14,0.7,0.7,15,0.5,0.5,43,1.43,1,61,1.525,1,47.18431854248047,8.02453899383545,226094.96875,644408.8125
Wikon LU,5,0.25,0.25,6,0.2,0.2,39,1.3,1,48,1.2,1,47.26788330078125,7.979557991027832,235361.03125,640935.5625
