Name,Y-Koord.,X-Koord.,Höhe,Verkehrsmittel
"Adliswil, Hofackerstrasse",682.952,241.053,475,Bus
"Adliswil, Krone",682.355,240.801,449,Bus
"Adliswil, Landolt-Junker-Str.",681.958,239.741,487,Bus
"Adliswil, Moos",682.579,242.195,471,Bus
"Adliswil, Poststrasse",682.147,240.829,448,Bus
"Adliswil, Rifertstrasse",682.64,240.491,480,Bus
"Adliswil, Rütistrasse/Wacht",682.695,240.147,509,Bus
"Adliswil, Schulhaus Kopfholz",682.857,240.353,494,Bus
"Adliswil, Tiefacker",682.507,241.223,447,Bus
"Adliswil, Tobelhof",682.413,240.38,479,Bus
"Adliswil, Wanneten-/Haldenstr.",681.961,240.014,473,Bus
"Adliswil, Zopf",681.479,241.474,488,Bus
"Aedermannsdorf, Dorfplatz",612.99,239.312,530,Bus
"Aedermannsdorf, Staatsstrasse",613.31,238.675,509,Bus
Aefligen,609.177,216.062,497,Zug
"Aefligen, Gemeindehaus",608.98,215.881,496,Bus
"Aegerten, Bären",588.537,219.012,433,Bus
"Aegerten, Dorfplatz",588.641,218.926,433,Bus
"Aegerten, Jurastrasse",588.862,219.12,432,Bus
"Aegerten, Stockfeld",588.841,218.661,434,Bus
Aelpli,763.452,209.076,1801,Luftseilbahn
Aempächli,730.74,198.173,1490,Luftseilbahn
Aemsigen,663.358,202.497,1360,Zahnradbahn
Aesch,612.397,257.453,299,Zug
Aesch (Neftenbach),693.525,266.475,440,Bus
"Aesch bei Maur, Im Brünneli",691.919,242.901,628,Bus
"Aesch bei Maur, Zollingerheim",692.048,242.471,646,Bus
Aesch BL Dorf,611.932,257.656,311,Tram
"Aesch BL, Alterszentrum",611.909,257.191,497,Bus
"Aesch BL, Arlesheimerstrasse",611.784,258.695,310,Tram
"Aesch BL, Bahnhof",612.378,257.445,299,Bus
"Aesch BL, Dorf (Bus)",611.939,257.638,311,Bus
"Aesch BL, Gewerbestrasse",612.495,259.007,318,Bus
"Aesch BL, Herrenweg",611.933,258.121,318,Tram
